Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
1,15:42:34.27 -52:46:00.56,0.55,15 42 34.2196169261,-52 46 00.579616398,1.366,0.6553,19.4636,0.0067
2,15:42:34.27 -52:46:00.56,1.356,15 42 34.4161973064,-52 46 00.840136116,? ,? ,16.4161,0.0032
1,15:42:24.90 -52:43:45.45,0.647,15 42 24.9718254088,-52 43 45.552890186,0.4535,0.0405,14.3493,0.0003
1,15:41:51.17 -52:54:19.81,0.433,15 41 51.1372307729,-52 54 19.426746574,0.5542,0.6888,19.8384,0.0071
2,15:41:51.17 -52:54:19.81,0.997,15 41 51.2804556216,-52 54 19.980012690,0.4314,0.0635,16.5151,0.0008
1,15:41:41.61 -52:49:08.27,0.913,15 41 41.7139729518,-52 49 08.188967025,0.5573,0.0502,16.0244,0.0006
1,15:42:45.59 -52:43:47.88,0.634,15 42 45.6671289130,-52 43 47.861445269,0.3227,0.1066,16.5161,0.0008
1,15:42:15.18 -52:46:34.73,1.057,15 42 15.2928775858,-52 46 34.604877313,0.5785,0.1028,16.0337,0.0007
1,15:42:06.59 -52:49:06.83,1.117,15 42 06.7052676110,-52 49 06.945394165,0.393,0.0985,17.3809,0.001
1,15:42:11.37 -52:50:37.52,0.983,15 42 11.4887277865,-52 50 37.546870032,0.2968,0.0872,16.3021,0.0007
1,15:42:21.72 -52:54:47.82,1.048,15 42 21.8228411473,-52 54 48.328149668,0.2334,0.3139,17.9768,0.0023
1,15:42:14.53 -52:54:40.08,0.875,15 42 14.6249170963,-52 54 40.367420163,0.1124,0.1191,17.7206,0.0012
1,15:42:03.90 -52:51:51.70,1.07,15 42 03.7978434598,-52 51 51.271875840,2.226,0.537,19.735,0.0051
2,15:42:03.90 -52:51:51.70,1.098,15 42 04.0173840931,-52 51 52.055002205,0.5038,0.0816,17.0916,0.0008
3,15:42:03.90 -52:51:51.70,1.778,15 42 03.8107522032,-52 51 53.283591396,? ,? ,20.6299,0.0168
1,15:41:53.69 -52:49:59.97,0.867,15 41 53.7894254753,-52 50 00.099387644,0.6977,0.1142,17.6298,0.0011
1,15:42:27.84 -52:52:55.39,1.5,15 42 27.9827264222,-52 52 56.199373948,0.5082,0.1221,17.5614,0.0011
1,15:42:19.02 -52:51:03.67,0.781,15 42 19.1087856996,-52 51 03.624865990,0.3969,0.0613,15.7092,0.0008
